Kommune,2020-02-29,2020-03-03,2020-03-05,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-02,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-18,2020-05-19,2020-05-20,2020-05-22,2020-05-23,2020-05-25,2020-05-26,2020-05-28,2020-05-29,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-08,2020-06-09,2020-06-10,2020-06-12,2020-06-13,2020-06-15,2020-06-17,2020-06-19,2020-06-20,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-27,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-12,2020-10-13,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-09,2020-11-11,2020-11-12,2020-11-13,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-23,2020-11-24,2020-11-26,2020-11-27,2020-11-30,2020-12-03,2020-12-04,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16
Stadt Münster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,5.0,6.0,6.0,6.0,12.0,23.0,41.0,65.0,101.0,101.0,,118.0,150.0,190.0,224.0,270.0,,,316.0,367.0,386.0,411.0,412.0,,,,457.0,482.0,482.0,493.0,493.0,,503.0,521.0,536.0,545.0,553.0,557.0,557.0,557.0,577.0,580.0,583.0,586.0,599.0,599.0,613.0,613.0,613.0,613.0,613.0,613.0,614.0,617.0,619.0,619.0,619.0,623.0,624.0,631.0,631.0,637.0,648.0,653.0,663.0,681.0,682.0,687.0,690.0,690.0,692.0,693.0,693.0,696.0,696.0,704.0,707.0,707.0,707.0,709.0,710.0,710.0,713.0,713.0,715.0,715.0,715.0,716.0,717.0,,719.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,720.0,722.0,722.0,722.0,722.0,724.0,725.0,726.0,728.0,729.0,,,,,,743.0,758.0,,767.0,770.0,779.0,797.0,811.0,819.0,828.0,844.0,857.0,860.0,861.0,864.0,867.0,879.0,882.0,885.0,890.0,894.0,904.0,908.0,916.0,916.0,919.0,923.0,924.0,928.0,932.0,935.0,946.0,948.0,954.0,956.0,963.0,965.0,978.0,983.0,991.0,997.0,1004.0,1029.0,1042.0,1052.0,1064.0,1078.0,1155.0,1171.0,1206.0,1216.0,1246.0,1269.0,1298.0,1310.0,1300.0,1400.0,1400.0,1500.0,1500.0,1600.0,1700.0,1800.0,1800.0,1900.0,2000.0,2000.0,2100.0,2100.0,2200.0,2200.0,2300.0,2400.0,2400.0,2500.0,2600.0,2700.0,2800.0,2800.0,2800.0,2800.0,2900.0,2900.0,3000.0,3000.0,3100.0,3100.0,3600.0,3600.0,3600.0,3700.0,3700.0,3800.0,3800.0,3900.0,4000.0,4000.0,4000.0,4100.0,4100.0,4200.0,4200.0,4300.0,4300.0,4300.0,4400.0,4400.0,4400.0,4500.0,4500.0,4600.0,4600.0,4600.0,4600.0,4700.0,4700.0,4700.0,4800.0,4800.0,4800.0,4800.0,4800.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5100.0,5100.0,5100.0,5100.0
Kreis Warendorf,,,,,,,,,,,,,,,,,,6.0,7.0,7.0,12.0,22.0,22.0,25.0,98.0,121.0,142.0,163.0,183.0,193.0,205.0,216.0,226.0,241.0,251.0,262.0,264.0,274.0,,283.0,290.0,294.0,302.0,306.0,,311.0,316.0,325.0,342.0,345.0,347.0,353.0,354.0,357.0,363.0,378.0,394.0,395.0,400.0,404.0,409.0,415.0,421.0,424.0,427.0,434.0,438.0,438.0,437.0,443.0,444.0,448.0,450.0,450.0,453.0,459.0,459.0,462.0,463.0,463.0,463.0,464.0,464.0,464.0,465.0,468.0,468.0,471.0,474.0,477.0,478.0,478.0,483.0,485.0,485.0,485.0,485.0,485.0,486.0,488.0,488.0,498.0,504.0,516.0,655.0,685.0,717.0,785.0,786.0,789.0,794.0,801.0,812.0,813.0,815.0,816.0,816.0,819.0,824.0,824.0,828.0,831.0,,,,,,844.0,847.0,,850.0,851.0,859.0,860.0,860.0,869.0,871.0,884.0,891.0,893.0,899.0,901.0,906.0,909.0,910.0,914.0,918.0,921.0,925.0,925.0,925.0,925.0,930.0,932.0,934.0,940.0,942.0,949.0,953.0,955.0,956.0,958.0,960.0,965.0,969.0,972.0,976.0,988.0,995.0,1007.0,1013.0,1014.0,1049.0,1058.0,1136.0,1147.0,1157.0,1180.0,1263.0,1294.0,1303.0,1307.0,1400.0,1600.0,1600.0,1600.0,1600.0,1600.0,1800.0,1900.0,2000.0,2000.0,2400.0,2400.0,2400.0,2500.0,2600.0,2800.0,2800.0,3000.0,3000.0,3200.0,3400.0,3400.0,3600.0,3600.0,3700.0,3800.0,3800.0,4000.0,4000.0,4000.0,4000.0,4000.0,4600.0,4600.0,4700.0,4800.0,4900.0,4900.0,4900.0,5000.0,5100.0,5200.0,5300.0,5300.0,5300.0,5400.0,5500.0,5600.0,5700.0,5700.0,5700.0,5800.0,5800.0,5900.0,6000.0,6100.0,6100.0,6200.0,6200.0,6300.0,6300.0,6500.0,6600.0,6600.0,6700.0,6700.0,6700.0,6800.0,6900.0,7000.0,7000.0,7100.0,7100.0,7100.0,7200.0,7300.0,7300.0,7400.0,7400.0,7500.0,7500.0,7500.0,7600.0
Kreis Steinfurt,,,,,,,,,,,,,,,,,,6.0,12.0,25.0,31.0,54.0,69.0,89.0,90.0,142.0,158.0,179.0,208.0,220.0,231.0,251.0,266.0,287.0,314.0,333.0,357.0,374.0,,409.0,437.0,456.0,488.0,431.0,,603.0,624.0,666.0,701.0,746.0,778.0,824.0,824.0,868.0,903.0,941.0,966.0,984.0,1003.0,1015.0,1029.0,1053.0,1064.0,1073.0,1082.0,1097.0,1110.0,1128.0,1144.0,1153.0,1165.0,1188.0,1192.0,1199.0,1199.0,1211.0,1216.0,1224.0,1227.0,1227.0,1227.0,1229.0,1230.0,1230.0,1234.0,1235.0,1237.0,1238.0,1239.0,1239.0,1241.0,1243.0,1243.0,1246.0,1248.0,1252.0,1254.0,1257.0,1257.0,1257.0,1257.0,1257.0,1257.0,1257.0,1257.0,1258.0,1258.0,1260.0,1264.0,1264.0,1265.0,1266.0,1272.0,1272.0,1272.0,1272.0,1272.0,1276.0,1276.0,1276.0,1277.0,1278.0,,,,,,1319.0,1324.0,,1330.0,1331.0,1352.0,1362.0,1377.0,1381.0,1382.0,1413.0,1423.0,1427.0,1433.0,1438.0,1458.0,1463.0,1467.0,1472.0,1477.0,1482.0,1482.0,1485.0,1487.0,1490.0,1498.0,1503.0,1505.0,1507.0,1513.0,1547.0,1552.0,1564.0,1566.0,1570.0,1588.0,1590.0,1590.0,1597.0,1599.0,1635.0,1643.0,1660.0,1679.0,,1760.0,1768.0,1863.0,1908.0,1917.0,1927.0,2004.0,2020.0,2038.0,2061.0,2100.0,2200.0,2200.0,2300.0,2300.0,2400.0,2600.0,2700.0,2800.0,2900.0,3100.0,3200.0,3300.0,3300.0,3400.0,3700.0,3700.0,3900.0,4000.0,4200.0,4400.0,4500.0,4700.0,4700.0,4800.0,4800.0,4900.0,5000.0,5100.0,5200.0,5300.0,5300.0,6100.0,6200.0,6300.0,6400.0,6500.0,6500.0,6700.0,6700.0,6800.0,6900.0,7000.0,7100.0,7200.0,7300.0,7400.0,7500.0,7500.0,7600.0,7700.0,7800.0,7900.0,8000.0,8100.0,8200.0,8200.0,8400.0,8500.0,8600.0,8600.0,8700.0,8800.0,8800.0,8900.0,8900.0,9000.0,9000.0,9100.0,9100.0,9200.0,9200.0,9200.0,9300.0,9300.0,9300.0,9400.0,9400.0,9500.0,9500.0,9500.0,9600.0,9600.0
Kreis Recklinghausen,,,,,,,,,,,,,,,,,,17.0,22.0,32.0,49.0,65.0,76.0,78.0,93.0,118.0,134.0,155.0,192.0,232.0,242.0,264.0,298.0,332.0,348.0,383.0,,383.0,,423.0,453.0,472.0,500.0,520.0,,552.0,574.0,593.0,612.0,635.0,661.0,695.0,695.0,736.0,754.0,819.0,853.0,876.0,894.0,905.0,921.0,936.0,947.0,969.0,981.0,999.0,1011.0,1020.0,1034.0,1042.0,1063.0,1078.0,1097.0,1127.0,1144.0,1179.0,1187.0,1197.0,1202.0,1206.0,1212.0,1212.0,1216.0,1216.0,1216.0,1225.0,1225.0,1227.0,1238.0,1246.0,1246.0,1253.0,1255.0,1255.0,1261.0,1266.0,1269.0,1269.0,1279.0,1283.0,1290.0,1290.0,1305.0,1318.0,1320.0,1322.0,1335.0,1345.0,1345.0,1362.0,1362.0,1369.0,1370.0,1373.0,1376.0,1378.0,1380.0,1388.0,1389.0,1394.0,1395.0,1397.0,1407.0,1414.0,1424.0,1435.0,1448.0,1464.0,1475.0,1492.0,1497.0,1506.0,1528.0,1543.0,1558.0,1561.0,1573.0,1610.0,1633.0,1640.0,1649.0,1672.0,1702.0,1709.0,1719.0,1734.0,1740.0,1750.0,1764.0,1784.0,1791.0,1799.0,1817.0,1833.0,1843.0,1852.0,1852.0,1883.0,1889.0,1904.0,1929.0,1939.0,1963.0,1969.0,1989.0,1999.0,2019.0,2048.0,2061.0,2086.0,2117.0,2139.0,2192.0,2218.0,2443.0,2518.0,2598.0,2671.0,2791.0,2884.0,2968.0,3068.0,3100.0,3400.0,3500.0,3600.0,3800.0,3900.0,4300.0,4700.0,4800.0,5100.0,5500.0,5700.0,5900.0,6100.0,6200.0,6600.0,6700.0,7000.0,7200.0,7600.0,8200.0,8400.0,9000.0,9100.0,9300.0,9400.0,9500.0,9900.0,10100.0,10300.0,10500.0,10700.0,12700.0,12900.0,13100.0,13300.0,13500.0,13600.0,13700.0,14000.0,14300.0,14500.0,14700.0,14900.0,14900.0,15000.0,15300.0,15500.0,15700.0,15900.0,16000.0,16200.0,16300.0,16500.0,16700.0,16800.0,17000.0,17100.0,17200.0,17300.0,17500.0,17600.0,17800.0,17900.0,18000.0,18100.0,18200.0,18300.0,18500.0,18600.0,18700.0,18800.0,18900.0,19000.0,19100.0,19200.0,19300.0,19400.0,19500.0,19600.0,19600.0,19700.0,19800.0
Kreis Coesfeld,,,,,,,,,,,,,,,,,,21.0,24.0,24.0,24.0,36.0,46.0,46.0,53.0,76.0,91.0,109.0,128.0,140.0,140.0,146.0,176.0,198.0,211.0,216.0,,216.0,,247.0,250.0,319.0,319.0,335.0,,334.0,342.0,365.0,369.0,375.0,399.0,402.0,402.0,415.0,423.0,424.0,424.0,426.0,435.0,442.0,450.0,450.0,455.0,457.0,464.0,468.0,473.0,475.0,499.0,501.0,513.0,523.0,523.0,523.0,695.0,780.0,785.0,789.0,810.0,813.0,827.0,832.0,832.0,832.0,833.0,835.0,835.0,835.0,842.0,842.0,842.0,843.0,843.0,844.0,844.0,845.0,845.0,846.0,847.0,849.0,850.0,850.0,,850.0,850.0,850.0,850.0,850.0,850.0,852.0,852.0,854.0,854.0,854.0,857.0,858.0,860.0,860.0,860.0,860.0,860.0,861.0,861.0,861.0,861.0,861.0,861.0,864.0,865.0,866.0,866.0,866.0,870.0,870.0,872.0,872.0,873.0,875.0,878.0,878.0,878.0,880.0,880.0,881.0,883.0,884.0,885.0,887.0,889.0,889.0,890.0,891.0,892.0,895.0,896.0,896.0,898.0,901.0,902.0,903.0,905.0,905.0,905.0,906.0,912.0,913.0,914.0,917.0,928.0,928.0,929.0,930.0,935.0,960.0,1023.0,1034.0,1040.0,1044.0,1063.0,1077.0,1081.0,1108.0,1100.0,1200.0,1200.0,1200.0,1200.0,1200.0,1300.0,1300.0,1400.0,1400.0,1400.0,1500.0,1500.0,1500.0,1500.0,1600.0,1600.0,1700.0,1700.0,1800.0,1800.0,1900.0,1900.0,2000.0,2000.0,2000.0,2000.0,2100.0,2100.0,2100.0,,2200.0,2500.0,2500.0,2500.0,2600.0,2600.0,2600.0,2600.0,2700.0,2700.0,2700.0,2800.0,2800.0,2800.0,2800.0,2800.0,2900.0,2900.0,3000.0,3000.0,3000.0,3000.0,3100.0,3100.0,3100.0,3100.0,3200.0,3200.0,3200.0,3200.0,3200.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
Kreis Borken,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,11.0,11.0,12.0,15.0,30.0,41.0,47.0,58.0,75.0,80.0,103.0,150.0,179.0,198.0,218.0,246.0,264.0,281.0,308.0,323.0,350.0,,373.0,,391.0,436.0,436.0,500.0,528.0,,588.0,605.0,607.0,653.0,651.0,669.0,683.0,695.0,707.0,723.0,740.0,745.0,752.0,762.0,777.0,791.0,792.0,799.0,809.0,812.0,816.0,821.0,826.0,828.0,829.0,838.0,853.0,858.0,891.0,900.0,931.0,931.0,939.0,939.0,942.0,972.0,972.0,992.0,1025.0,1041.0,1049.0,1052.0,1056.0,1063.0,1066.0,1066.0,1068.0,1068.0,1068.0,1069.0,1069.0,1069.0,1069.0,1072.0,1072.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1076.0,1079.0,1079.0,1079.0,1079.0,1079.0,1080.0,1083.0,1084.0,1085.0,1085.0,1085.0,1091.0,1091.0,,,,,,1115.0,1116.0,,1122.0,1122.0,1130.0,1130.0,1133.0,1138.0,1139.0,1147.0,1151.0,1151.0,1156.0,1158.0,1158.0,1181.0,1185.0,1193.0,1202.0,1204.0,1205.0,1205.0,1213.0,1217.0,1222.0,1222.0,1228.0,1233.0,1234.0,1235.0,1237.0,1240.0,1243.0,1251.0,1256.0,1257.0,1260.0,1264.0,1268.0,1272.0,1273.0,1283.0,1292.0,1297.0,1309.0,1310.0,1370.0,1384.0,1396.0,1404.0,1442.0,1456.0,1492.0,1519.0,1700.0,1800.0,1900.0,1900.0,2000.0,2000.0,2200.0,2300.0,2400.0,2500.0,2700.0,2800.0,2900.0,3000.0,3000.0,3300.0,3400.0,3500.0,3600.0,3800.0,4100.0,4100.0,4300.0,4300.0,4400.0,4400.0,4500.0,4600.0,4700.0,4700.0,4800.0,4900.0,5700.0,5800.0,5900.0,6000.0,6100.0,6200.0,6200.0,6300.0,6400.0,6400.0,6500.0,6500.0,6500.0,6600.0,6600.0,6700.0,6700.0,6800.0,6800.0,6800.0,6900.0,7000.0,7100.0,7100.0,7100.0,7200.0,7200.0,7300.0,7300.0,7300.0,7400.0,7400.0,7400.0,7500.0,7500.0,7600.0,7600.0,7600.0,7600.0,7700.0,7700.0,7700.0,7800.0,7800.0,7800.0,7900.0,7900.0,7900.0,7900.0,8000.0,8000.0
Stadt Gelsenkirchen,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,16.0,20.0,21.0,22.0,24.0,25.0,32.0,36.0,39.0,42.0,43.0,47.0,49.0,,52.0,95.0,106.0,115.0,123.0,,139.0,153.0,165.0,193.0,196.0,207.0,209.0,221.0,226.0,227.0,234.0,235.0,246.0,246.0,254.0,258.0,279.0,280.0,280.0,286.0,287.0,292.0,292.0,292.0,322.0,330.0,330.0,331.0,331.0,335.0,348.0,349.0,351.0,351.0,353.0,360.0,364.0,364.0,367.0,372.0,372.0,372.0,372.0,383.0,393.0,397.0,397.0,397.0,409.0,413.0,416.0,416.0,429.0,433.0,440.0,450.0,453.0,,462.0,466.0,476.0,478.0,481.0,486.0,495.0,500.0,500.0,505.0,506.0,513.0,521.0,526.0,527.0,532.0,539.0,549.0,627.0,552.0,552.0,566.0,571.0,572.0,572.0,572.0,607.0,616.0,616.0,616.0,628.0,631.0,636.0,658.0,660.0,661.0,704.0,711.0,712.0,724.0,727.0,748.0,754.0,763.0,767.0,781.0,784.0,784.0,799.0,811.0,811.0,815.0,816.0,825.0,825.0,831.0,844.0,848.0,855.0,867.0,881.0,892.0,912.0,916.0,924.0,978.0,980.0,1015.0,1021.0,1024.0,1026.0,1102.0,1121.0,1124.0,1175.0,1189.0,1243.0,1269.0,1299.0,1500.0,1500.0,1600.0,1700.0,1700.0,1800.0,1800.0,1900.0,2000.0,2100.0,2200.0,2200.0,2300.0,2400.0,2400.0,2500.0,2700.0,2800.0,3000.0,3100.0,3400.0,3600.0,3700.0,3900.0,4000.0,4100.0,4200.0,4500.0,4600.0,4600.0,4800.0,4900.0,5900.0,6000.0,6100.0,6200.0,6200.0,6200.0,6300.0,6400.0,6500.0,6600.0,6600.0,6700.0,6700.0,6800.0,6800.0,6900.0,6900.0,7000.0,7000.0,7000.0,7100.0,7300.0,7400.0,7500.0,7500.0,7500.0,7500.0,7700.0,7800.0,7900.0,7900.0,8000.0,8000.0,8000.0,8200.0,8300.0,8400.0,8500.0,8600.0,8600.0,8600.0,8700.0,8700.0,8800.0,8800.0,8900.0,8900.0,8900.0,9000.0,9000.0,9000.0
Stadt Bottrop,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,5.0,5.0,10.0,10.0,10.0,10.0,11.0,14.0,21.0,26.0,26.0,27.0,27.0,30.0,32.0,37.0,,39.0,,43.0,44.0,44.0,51.0,51.0,,56.0,59.0,62.0,69.0,70.0,71.0,80.0,86.0,89.0,95.0,98.0,106.0,111.0,114.0,119.0,120.0,127.0,132.0,134.0,141.0,141.0,148.0,155.0,161.0,163.0,166.0,172.0,174.0,175.0,175.0,178.0,181.0,183.0,186.0,187.0,189.0,189.0,189.0,191.0,192.0,196.0,197.0,197.0,197.0,203.0,203.0,204.0,205.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,,206.0,206.0,206.0,206.0,209.0,211.0,212.0,214.0,214.0,216.0,,,221.0,221.0,221.0,221.0,221.0,221.0,221.0,,,,,,248.0,256.0,,260.0,260.0,267.0,272.0,273.0,275.0,275.0,276.0,278.0,279.0,282.0,286.0,287.0,287.0,289.0,292.0,292.0,298.0,300.0,301.0,301.0,305.0,305.0,305.0,306.0,309.0,309.0,311.0,311.0,313.0,315.0,316.0,318.0,322.0,322.0,323.0,324.0,338.0,339.0,343.0,352.0,,361.0,363.0,390.0,398.0,412.0,413.0,428.0,429.0,448.0,455.0,460.0,480.0,480.0,480.0,490.0,500.0,510.0,560.0,580.0,620.0,660.0,680.0,700.0,720.0,730.0,800.0,850.0,970.0,1000.0,1100.0,1400.0,1400.0,1500.0,1500.0,1600.0,1600.0,1600.0,1700.0,1700.0,1800.0,1800.0,1900.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2400.0,2400.0,2500.0,2500.0,2600.0,2600.0,2600.0,2600.0,2700.0,2700.0,2700.0,2800.0,2800.0,2800.0,2800.0,2900.0,2900.0,2900.0,3000.0,3000.0,3000.0,3100.0,3100.0,3100.0,3200.0,3200.0,3200.0,3200.0,3300.0,3300.0,3300.0,3300.0,3400.0,3400.0,3400.0,3400.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3600.0,3600.0
